data_status,source_id,file_name,period,version,version_status,method,usable_for,limitation,upload_ok
教學合成資料,S01,F02_新增資格族群服務漏斗_v1_v2.csv,2026H1,v1,舊版待去重,資格名冊與服務紀錄聚合,版本比較練習,資格估計數含待去重紀錄；不可與v2混用,否
教學合成資料,S02,F02_新增資格族群服務漏斗_v1_v2.csv,2026H1,v2,目前分析版,去重後資格名冊與服務紀錄聚合,服務漏斗與區域比較,完成資料截至6月；後續追蹤截至8月,是
教學合成資料,S03,F03_每月服務量_人次與人數.csv,2026-01至2026-06,v1,目前分析版,月報聚合,辨識人次與估計不重複人數,不重複人數為估計值,是
教學合成資料,S04,F04_服務區可近性摘要.csv,2026H1,v1,目前分析版,行政盤點與聚合估算,服務區可近性描述,不能證明服務落差的單一原因,是
教學合成資料,S05,F05_提醒與協助預約試辦.csv,試辦前後各3個月,v1,目前分析版,8據點前後期聚合,前後期完成率比較,無隨機分派且無對照組；不可宣稱因果,是
教學合成資料,S06,F06_民眾經驗調查摘要.csv,2026-06,v1,目前分析版,聯繫1200人完成438份之未加權摘要,回覆者經驗與偏好,回覆率36.5%；只代表回覆者,是
教學合成資料,S07,F07_執行人員訪談主題.csv,2026-06,v1,目前分析版,8據點18位人員訪談主題歸納,補充流程脈絡,主題次數不是盛行率且不能外推,是
教學合成資料,S08,F08_方案資源情境估算.csv,下一季,v1,未核定情境,教學用高低區間估算,練習方案比較與風險溝通,不是預算或政策承諾；多項成本未納入,是
教學合成資料,S09,F09_未查核_AI初稿.txt,課堂練習,v0,未查核草稿,AI依混合版本素材生成,第二階事實核對與改寫,可能含版本分母與推論問題；不是答案,是

